premise,conclusion,item,category,blankpredicate,predicate_id,argument_id
Cuff links are mimsy.,All clothes are mimsy.,cuff link,clothing,are,2,3
Cuff links are vorpal.,All clothes are vorpal.,cuff link,clothing,are,2,4
Cuff links are frabjous.,All clothes are frabjous.,cuff link,clothing,are,2,5
Cuff links have wugs.,All clothes have wugs.,cuff link,clothing,have,3,1
Cuff links have feps.,All clothes have feps.,cuff link,clothing,have,3,2
Cuff links have blickets.,All clothes have blickets.,cuff link,clothing,have,3,3
Cuff links have jabberwocks.,All clothes have jabberwocks.,cuff link,clothing,have,3,4
Cuff links have toves.,All clothes have toves.,cuff link,clothing,have,3,5
Necklaces can be daxed.,All clothes can be daxed.,necklace,clothing,can be,1,1
Necklaces can be wiffed.,All clothes can be wiffed.,necklace,clothing,can be,1,2
Necklaces can be blicked.,All clothes can be blicked.,necklace,clothing,can be,1,3
Necklaces can be gyred.,All clothes can be gyred.,necklace,clothing,can be,1,4
Necklaces can be gimbled.,All clothes can be gimbled.,necklace,clothing,can be,1,5
Necklaces are beamish.,All clothes are beamish.,necklace,clothing,are,2,1
Necklaces are slithy.,All clothes are slithy.,necklace,clothing,are,2,2
Necklaces are mimsy.,All clothes are mimsy.,necklace,clothing,are,2,3
Necklaces are vorpal.,All clothes are vorpal.,necklace,clothing,are,2,4
Necklaces are frabjous.,All clothes are frabjous.,necklace,clothing,are,2,5
Necklaces have wugs.,All clothes have wugs.,necklace,clothing,have,3,1
Necklaces have feps.,All clothes have feps.,necklace,clothing,have,3,2
Necklaces have blickets.,All clothes have blickets.,necklace,clothing,have,3,3
Necklaces have jabberwocks.,All clothes have jabberwocks.,necklace,clothing,have,3,4
Necklaces have toves.,All clothes have toves.,necklace,clothing,have,3,5
Bracelets can be daxed.,All clothes can be daxed.,bracelet,clothing,can be,1,1
Bracelets can be wiffed.,All clothes can be wiffed.,bracelet,clothing,can be,1,2
Bracelets can be blicked.,All clothes can be blicked.,bracelet,clothing,can be,1,3
Bracelets can be gyred.,All clothes can be gyred.,bracelet,clothing,can be,1,4
Bracelets can be gimbled.,All clothes can be gimbled.,bracelet,clothing,can be,1,5
Bracelets are beamish.,All clothes are beamish.,bracelet,clothing,are,2,1
Bracelets are slithy.,All clothes are slithy.,bracelet,clothing,are,2,2
Bracelets are mimsy.,All clothes are mimsy.,bracelet,clothing,are,2,3
Bracelets are vorpal.,All clothes are vorpal.,bracelet,clothing,are,2,4
Bracelets are frabjous.,All clothes are frabjous.,bracelet,clothing,are,2,5
Bracelets have wugs.,All clothes have wugs.,bracelet,clothing,have,3,1
Bracelets have feps.,All clothes have feps.,bracelet,clothing,have,3,2
Bracelets have blickets.,All clothes have blickets.,bracelet,clothing,have,3,3
Bracelets have jabberwocks.,All clothes have jabberwocks.,bracelet,clothing,have,3,4
Bracelets have toves.,All clothes have toves.,bracelet,clothing,have,3,5
Canes can be daxed.,All clothes can be daxed.,cane,clothing,can be,1,1
Canes can be wiffed.,All clothes can be wiffed.,cane,clothing,can be,1,2
Canes can be blicked.,All clothes can be blicked.,cane,clothing,can be,1,3
Canes can be gyred.,All clothes can be gyred.,cane,clothing,can be,1,4
Canes can be gimbled.,All clothes can be gimbled.,cane,clothing,can be,1,5
Canes are beamish.,All clothes are beamish.,cane,clothing,are,2,1
Canes are slithy.,All clothes are slithy.,cane,clothing,are,2,2
Canes are mimsy.,All clothes are mimsy.,cane,clothing,are,2,3
Canes are vorpal.,All clothes are vorpal.,cane,clothing,are,2,4
Canes are frabjous.,All clothes are frabjous.,cane,clothing,are,2,5
Canes have wugs.,All clothes have wugs.,cane,clothing,have,3,1
Canes have feps.,All clothes have feps.,cane,clothing,have,3,2
Canes have blickets.,All clothes have blickets.,cane,clothing,have,3,3
Canes have jabberwocks.,All clothes have jabberwocks.,cane,clothing,have,3,4
Canes have toves.,All clothes have toves.,cane,clothing,have,3,5
Automobiles can dax.,All vehicles can dax.,automobile,vehicle,can,1,1
Automobiles can wif.,All vehicles can wif.,automobile,vehicle,can,1,2
Automobiles can blick.,All vehicles can blick.,automobile,vehicle,can,1,3
Automobiles can gyre.,All vehicles can gyre.,automobile,vehicle,can,1,4
Automobiles can gimble.,All vehicles can gimble.,automobile,vehicle,can,1,5
Automobiles can be daxed.,All vehicles can be daxed.,automobile,vehicle,can be,2,1
Automobiles can be wiffed.,All vehicles can be wiffed.,automobile,vehicle,can be,2,2
Automobiles can be blicked.,All vehicles can be blicked.,automobile,vehicle,can be,2,3
Automobiles can be gyred.,All vehicles can be gyred.,automobile,vehicle,can be,2,4
Automobiles can be gimbled.,All vehicles can be gimbled.,automobile,vehicle,can be,2,5
Automobiles are beamish.,All vehicles are beamish.,automobile,vehicle,are,3,1
Automobiles are slithy.,All vehicles are slithy.,automobile,vehicle,are,3,2
Automobiles are mimsy.,All vehicles are mimsy.,automobile,vehicle,are,3,3
Automobiles are vorpal.,All vehicles are vorpal.,automobile,vehicle,are,3,4
Automobiles are frabjous.,All vehicles are frabjous.,automobile,vehicle,are,3,5
Automobiles use a wug.,All vehicles use a wug.,automobile,vehicle,use a,4,1
Automobiles use a fep.,All vehicles use a fep.,automobile,vehicle,use a,4,2
Automobiles use a blicket.,All vehicles use a blicket.,automobile,vehicle,use a,4,3
Automobiles use a jabberwock.,All vehicles use a jabberwock.,automobile,vehicle,use a,4,4
Automobiles use a tove.,All vehicles use a tove.,automobile,vehicle,use a,4,5
Automobiles have wugs.,All vehicles have wugs.,automobile,vehicle,have,5,1
Automobiles have feps.,All vehicles have feps.,automobile,vehicle,have,5,2
Automobiles have blickets.,All vehicles have blickets.,automobile,vehicle,have,5,3
Automobiles have jabberwocks.,All vehicles have jabberwocks.,automobile,vehicle,have,5,4
Automobiles have toves.,All vehicles have toves.,automobile,vehicle,have,5,5
Station wagons can dax.,All vehicles can dax.,station wagon,vehicle,can,1,1
Station wagons can wif.,All vehicles can wif.,station wagon,vehicle,can,1,2
Station wagons can blick.,All vehicles can blick.,station wagon,vehicle,can,1,3
Station wagons can gyre.,All vehicles can gyre.,station wagon,vehicle,can,1,4
Station wagons can gimble.,All vehicles can gimble.,station wagon,vehicle,can,1,5
Station wagons can be daxed.,All vehicles can be daxed.,station wagon,vehicle,can be,2,1
Station wagons can be wiffed.,All vehicles can be wiffed.,station wagon,vehicle,can be,2,2
Station wagons can be blicked.,All vehicles can be blicked.,station wagon,vehicle,can be,2,3
Station wagons can be gyred.,All vehicles can be gyred.,station wagon,vehicle,can be,2,4
Station wagons can be gimbled.,All vehicles can be gimbled.,station wagon,vehicle,can be,2,5
Station wagons are beamish.,All vehicles are beamish.,station wagon,vehicle,are,3,1
Station wagons are slithy.,All vehicles are slithy.,station wagon,vehicle,are,3,2
Station wagons are mimsy.,All vehicles are mimsy.,station wagon,vehicle,are,3,3
Station wagons are vorpal.,All vehicles are vorpal.,station wagon,vehicle,are,3,4
Station wagons are frabjous.,All vehicles are frabjous.,station wagon,vehicle,are,3,5
Station wagons use a wug.,All vehicles use a wug.,station wagon,vehicle,use a,4,1
Station wagons use a fep.,All vehicles use a fep.,station wagon,vehicle,use a,4,2
Station wagons use a blicket.,All vehicles use a blicket.,station wagon,vehicle,use a,4,3
Station wagons use a jabberwock.,All vehicles use a jabberwock.,station wagon,vehicle,use a,4,4
Station wagons use a tove.,All vehicles use a tove.,station wagon,vehicle,use a,4,5
Station wagons have wugs.,All vehicles have wugs.,station wagon,vehicle,have,5,1
Station wagons have feps.,All vehicles have feps.,station wagon,vehicle,have,5,2
Station wagons have blickets.,All vehicles have blickets.,station wagon,vehicle,have,5,3
Station wagons have jabberwocks.,All vehicles have jabberwocks.,station wagon,vehicle,have,5,4
Station wagons have toves.,All vehicles have toves.,station wagon,vehicle,have,5,5
Trucks can dax.,All vehicles can dax.,truck,vehicle,can,1,1
Trucks can wif.,All vehicles can wif.,truck,vehicle,can,1,2
Trucks can blick.,All vehicles can blick.,truck,vehicle,can,1,3
Trucks can gyre.,All vehicles can gyre.,truck,vehicle,can,1,4
Trucks can gimble.,All vehicles can gimble.,truck,vehicle,can,1,5
Trucks can be daxed.,All vehicles can be daxed.,truck,vehicle,can be,2,1
Trucks can be wiffed.,All vehicles can be wiffed.,truck,vehicle,can be,2,2
Trucks can be blicked.,All vehicles can be blicked.,truck,vehicle,can be,2,3
Trucks can be gyred.,All vehicles can be gyred.,truck,vehicle,can be,2,4
Trucks can be gimbled.,All vehicles can be gimbled.,truck,vehicle,can be,2,5
Trucks are beamish.,All vehicles are beamish.,truck,vehicle,are,3,1
Trucks are slithy.,All vehicles are slithy.,truck,vehicle,are,3,2
Trucks are mimsy.,All vehicles are mimsy.,truck,vehicle,are,3,3
Trucks are vorpal.,All vehicles are vorpal.,truck,vehicle,are,3,4
Trucks are frabjous.,All vehicles are frabjous.,truck,vehicle,are,3,5
Trucks use a wug.,All vehicles use a wug.,truck,vehicle,use a,4,1
Trucks use a fep.,All vehicles use a fep.,truck,vehicle,use a,4,2
Trucks use a blicket.,All vehicles use a blicket.,truck,vehicle,use a,4,3
Trucks use a jabberwock.,All vehicles use a jabberwock.,truck,vehicle,use a,4,4
Trucks use a tove.,All vehicles use a tove.,truck,vehicle,use a,4,5
Trucks have wugs.,All vehicles have wugs.,truck,vehicle,have,5,1
Trucks have feps.,All vehicles have feps.,truck,vehicle,have,5,2
Trucks have blickets.,All vehicles have blickets.,truck,vehicle,have,5,3
Trucks have jabberwocks.,All vehicles have jabberwocks.,truck,vehicle,have,5,4
Trucks have toves.,All vehicles have toves.,truck,vehicle,have,5,5
Cars can dax.,All vehicles can dax.,car,vehicle,can,1,1
Cars can wif.,All vehicles can wif.,car,vehicle,can,1,2
Cars can blick.,All vehicles can blick.,car,vehicle,can,1,3
Cars can gyre.,All vehicles can gyre.,car,vehicle,can,1,4
Cars can gimble.,All vehicles can gimble.,car,vehicle,can,1,5
Cars can be daxed.,All vehicles can be daxed.,car,vehicle,can be,2,1
Cars can be wiffed.,All vehicles can be wiffed.,car,vehicle,can be,2,2
Cars can be blicked.,All vehicles can be blicked.,car,vehicle,can be,2,3
Cars can be gyred.,All vehicles can be gyred.,car,vehicle,can be,2,4
Cars can be gimbled.,All vehicles can be gimbled.,car,vehicle,can be,2,5
Cars are beamish.,All vehicles are beamish.,car,vehicle,are,3,1
Cars are slithy.,All vehicles are slithy.,car,vehicle,are,3,2
Cars are mimsy.,All vehicles are mimsy.,car,vehicle,are,3,3
Cars are vorpal.,All vehicles are vorpal.,car,vehicle,are,3,4
Cars are frabjous.,All vehicles are frabjous.,car,vehicle,are,3,5
Cars use a wug.,All vehicles use a wug.,car,vehicle,use a,4,1
Cars use a fep.,All vehicles use a fep.,car,vehicle,use a,4,2
Cars use a blicket.,All vehicles use a blicket.,car,vehicle,use a,4,3
Cars use a jabberwock.,All vehicles use a jabberwock.,car,vehicle,use a,4,4
Cars use a tove.,All vehicles use a tove.,car,vehicle,use a,4,5
Cars have wugs.,All vehicles have wugs.,car,vehicle,have,5,1
Cars have feps.,All vehicles have feps.,car,vehicle,have,5,2
Cars have blickets.,All vehicles have blickets.,car,vehicle,have,5,3
Cars have jabberwocks.,All vehicles have jabberwocks.,car,vehicle,have,5,4
Cars have toves.,All vehicles have toves.,car,vehicle,have,5,5
Buses can dax.,All vehicles can dax.,bus,vehicle,can,1,1
Buses can wif.,All vehicles can wif.,bus,vehicle,can,1,2
Buses can blick.,All vehicles can blick.,bus,vehicle,can,1,3
Buses can gyre.,All vehicles can gyre.,bus,vehicle,can,1,4
Buses can gimble.,All vehicles can gimble.,bus,vehicle,can,1,5
Buses can be daxed.,All vehicles can be daxed.,bus,vehicle,can be,2,1
Buses can be wiffed.,All vehicles can be wiffed.,bus,vehicle,can be,2,2
Buses can be blicked.,All vehicles can be blicked.,bus,vehicle,can be,2,3
Buses can be gyred.,All vehicles can be gyred.,bus,vehicle,can be,2,4
Buses can be gimbled.,All vehicles can be gimbled.,bus,vehicle,can be,2,5
Buses are beamish.,All vehicles are beamish.,bus,vehicle,are,3,1
Buses are slithy.,All vehicles are slithy.,bus,vehicle,are,3,2
Buses are mimsy.,All vehicles are mimsy.,bus,vehicle,are,3,3
Buses are vorpal.,All vehicles are vorpal.,bus,vehicle,are,3,4
Buses are frabjous.,All vehicles are frabjous.,bus,vehicle,are,3,5
Buses use a wug.,All vehicles use a wug.,bus,vehicle,use a,4,1
Buses use a fep.,All vehicles use a fep.,bus,vehicle,use a,4,2
Buses use a blicket.,All vehicles use a blicket.,bus,vehicle,use a,4,3
Buses use a jabberwock.,All vehicles use a jabberwock.,bus,vehicle,use a,4,4
Buses use a tove.,All vehicles use a tove.,bus,vehicle,use a,4,5
Buses have wugs.,All vehicles have wugs.,bus,vehicle,have,5,1
Buses have feps.,All vehicles have feps.,bus,vehicle,have,5,2
Buses have blickets.,All vehicles have blickets.,bus,vehicle,have,5,3
Buses have jabberwocks.,All vehicles have jabberwocks.,bus,vehicle,have,5,4
Buses have toves.,All vehicles have toves.,bus,vehicle,have,5,5
Taxis can dax.,All vehicles can dax.,taxi,vehicle,can,1,1
Taxis can wif.,All vehicles can wif.,taxi,vehicle,can,1,2
Taxis can blick.,All vehicles can blick.,taxi,vehicle,can,1,3
Taxis can gyre.,All vehicles can gyre.,taxi,vehicle,can,1,4
Taxis can gimble.,All vehicles can gimble.,taxi,vehicle,can,1,5
Taxis can be daxed.,All vehicles can be daxed.,taxi,vehicle,can be,2,1
Taxis can be wiffed.,All vehicles can be wiffed.,taxi,vehicle,can be,2,2
Taxis can be blicked.,All vehicles can be blicked.,taxi,vehicle,can be,2,3
Taxis can be gyred.,All vehicles can be gyred.,taxi,vehicle,can be,2,4
Taxis can be gimbled.,All vehicles can be gimbled.,taxi,vehicle,can be,2,5
Taxis are beamish.,All vehicles are beamish.,taxi,vehicle,are,3,1
Taxis are slithy.,All vehicles are slithy.,taxi,vehicle,are,3,2
Taxis are mimsy.,All vehicles are mimsy.,taxi,vehicle,are,3,3
Taxis are vorpal.,All vehicles are vorpal.,taxi,vehicle,are,3,4
Taxis are frabjous.,All vehicles are frabjous.,taxi,vehicle,are,3,5
Taxis use a wug.,All vehicles use a wug.,taxi,vehicle,use a,4,1
Taxis use a fep.,All vehicles use a fep.,taxi,vehicle,use a,4,2
Taxis use a blicket.,All vehicles use a blicket.,taxi,vehicle,use a,4,3
Taxis use a jabberwock.,All vehicles use a jabberwock.,taxi,vehicle,use a,4,4
Taxis use a tove.,All vehicles use a tove.,taxi,vehicle,use a,4,5
Taxis have wugs.,All vehicles have wugs.,taxi,vehicle,have,5,1
Taxis have feps.,All vehicles have feps.,taxi,vehicle,have,5,2
Taxis have blickets.,All vehicles have blickets.,taxi,vehicle,have,5,3
Taxis have jabberwocks.,All vehicles have jabberwocks.,taxi,vehicle,have,5,4
Taxis have toves.,All vehicles have toves.,taxi,vehicle,have,5,5
Jeeps can dax.,All vehicles can dax.,jeep,vehicle,can,1,1
Jeeps can wif.,All vehicles can wif.,jeep,vehicle,can,1,2
Jeeps can blick.,All vehicles can blick.,jeep,vehicle,can,1,3
Jeeps can gyre.,All vehicles can gyre.,jeep,vehicle,can,1,4
Jeeps can gimble.,All vehicles can gimble.,jeep,vehicle,can,1,5
Jeeps can be daxed.,All vehicles can be daxed.,jeep,vehicle,can be,2,1
Jeeps can be wiffed.,All vehicles can be wiffed.,jeep,vehicle,can be,2,2
Jeeps can be blicked.,All vehicles can be blicked.,jeep,vehicle,can be,2,3
Jeeps can be gyred.,All vehicles can be gyred.,jeep,vehicle,can be,2,4
Jeeps can be gimbled.,All vehicles can be gimbled.,jeep,vehicle,can be,2,5
Jeeps are beamish.,All vehicles are beamish.,jeep,vehicle,are,3,1
Jeeps are slithy.,All vehicles are slithy.,jeep,vehicle,are,3,2
Jeeps are mimsy.,All vehicles are mimsy.,jeep,vehicle,are,3,3
Jeeps are vorpal.,All vehicles are vorpal.,jeep,vehicle,are,3,4
Jeeps are frabjous.,All vehicles are frabjous.,jeep,vehicle,are,3,5
Jeeps use a wug.,All vehicles use a wug.,jeep,vehicle,use a,4,1
Jeeps use a fep.,All vehicles use a fep.,jeep,vehicle,use a,4,2
Jeeps use a blicket.,All vehicles use a blicket.,jeep,vehicle,use a,4,3
Jeeps use a jabberwock.,All vehicles use a jabberwock.,jeep,vehicle,use a,4,4
Jeeps use a tove.,All vehicles use a tove.,jeep,vehicle,use a,4,5
Jeeps have wugs.,All vehicles have wugs.,jeep,vehicle,have,5,1
Jeeps have feps.,All vehicles have feps.,jeep,vehicle,have,5,2
Jeeps have blickets.,All vehicles have blickets.,jeep,vehicle,have,5,3
Jeeps have jabberwocks.,All vehicles have jabberwocks.,jeep,vehicle,have,5,4
Jeeps have toves.,All vehicles have toves.,jeep,vehicle,have,5,5
Ambulances can dax.,All vehicles can dax.,ambulance,vehicle,can,1,1
Ambulances can wif.,All vehicles can wif.,ambulance,vehicle,can,1,2
Ambulances can blick.,All vehicles can blick.,ambulance,vehicle,can,1,3
Ambulances can gyre.,All vehicles can gyre.,ambulance,vehicle,can,1,4
Ambulances can gimble.,All vehicles can gimble.,ambulance,vehicle,can,1,5
Ambulances can be daxed.,All vehicles can be daxed.,ambulance,vehicle,can be,2,1
Ambulances can be wiffed.,All vehicles can be wiffed.,ambulance,vehicle,can be,2,2
Ambulances can be blicked.,All vehicles can be blicked.,ambulance,vehicle,can be,2,3
Ambulances can be gyred.,All vehicles can be gyred.,ambulance,vehicle,can be,2,4
Ambulances can be gimbled.,All vehicles can be gimbled.,ambulance,vehicle,can be,2,5
Ambulances are beamish.,All vehicles are beamish.,ambulance,vehicle,are,3,1
Ambulances are slithy.,All vehicles are slithy.,ambulance,vehicle,are,3,2
Ambulances are mimsy.,All vehicles are mimsy.,ambulance,vehicle,are,3,3
Ambulances are vorpal.,All vehicles are vorpal.,ambulance,vehicle,are,3,4
Ambulances are frabjous.,All vehicles are frabjous.,ambulance,vehicle,are,3,5
Ambulances use a wug.,All vehicles use a wug.,ambulance,vehicle,use a,4,1
Ambulances use a fep.,All vehicles use a fep.,ambulance,vehicle,use a,4,2
Ambulances use a blicket.,All vehicles use a blicket.,ambulance,vehicle,use a,4,3
Ambulances use a jabberwock.,All vehicles use a jabberwock.,ambulance,vehicle,use a,4,4
Ambulances use a tove.,All vehicles use a tove.,ambulance,vehicle,use a,4,5
Ambulances have wugs.,All vehicles have wugs.,ambulance,vehicle,have,5,1
Ambulances have feps.,All vehicles have feps.,ambulance,vehicle,have,5,2
Ambulances have blickets.,All vehicles have blickets.,ambulance,vehicle,have,5,3
Ambulances have jabberwocks.,All vehicles have jabberwocks.,ambulance,vehicle,have,5,4
Ambulances have toves.,All vehicles have toves.,ambulance,vehicle,have,5,5
Motorcycles can dax.,All vehicles can dax.,motorcycle,vehicle,can,1,1
Motorcycles can wif.,All vehicles can wif.,motorcycle,vehicle,can,1,2
Motorcycles can blick.,All vehicles can blick.,motorcycle,vehicle,can,1,3
Motorcycles can gyre.,All vehicles can gyre.,motorcycle,vehicle,can,1,4
Motorcycles can gimble.,All vehicles can gimble.,motorcycle,vehicle,can,1,5
Motorcycles can be daxed.,All vehicles can be daxed.,motorcycle,vehicle,can be,2,1
Motorcycles can be wiffed.,All vehicles can be wiffed.,motorcycle,vehicle,can be,2,2
Motorcycles can be blicked.,All vehicles can be blicked.,motorcycle,vehicle,can be,2,3
Motorcycles can be gyred.,All vehicles can be gyred.,motorcycle,vehicle,can be,2,4
Motorcycles can be gimbled.,All vehicles can be gimbled.,motorcycle,vehicle,can be,2,5
Motorcycles are beamish.,All vehicles are beamish.,motorcycle,vehicle,are,3,1
Motorcycles are slithy.,All vehicles are slithy.,motorcycle,vehicle,are,3,2
Motorcycles are mimsy.,All vehicles are mimsy.,motorcycle,vehicle,are,3,3
Motorcycles are vorpal.,All vehicles are vorpal.,motorcycle,vehicle,are,3,4
Motorcycles are frabjous.,All vehicles are frabjous.,motorcycle,vehicle,are,3,5
Motorcycles use a wug.,All vehicles use a wug.,motorcycle,vehicle,use a,4,1
Motorcycles use a fep.,All vehicles use a fep.,motorcycle,vehicle,use a,4,2
Motorcycles use a blicket.,All vehicles use a blicket.,motorcycle,vehicle,use a,4,3
Motorcycles use a jabberwock.,All vehicles use a jabberwock.,motorcycle,vehicle,use a,4,4
Motorcycles use a tove.,All vehicles use a tove.,motorcycle,vehicle,use a,4,5
Motorcycles have wugs.,All vehicles have wugs.,motorcycle,vehicle,have,5,1
Motorcycles have feps.,All vehicles have feps.,motorcycle,vehicle,have,5,2
Motorcycles have blickets.,All vehicles have blickets.,motorcycle,vehicle,have,5,3
Motorcycles have jabberwocks.,All vehicles have jabberwocks.,motorcycle,vehicle,have,5,4
Motorcycles have toves.,All vehicles have toves.,motorcycle,vehicle,have,5,5
Streetcars can dax.,All vehicles can dax.,streetcar,vehicle,can,1,1
Streetcars can wif.,All vehicles can wif.,streetcar,vehicle,can,1,2
Streetcars can blick.,All vehicles can blick.,streetcar,vehicle,can,1,3
Streetcars can gyre.,All vehicles can gyre.,streetcar,vehicle,can,1,4
Streetcars can gimble.,All vehicles can gimble.,streetcar,vehicle,can,1,5
Streetcars can be daxed.,All vehicles can be daxed.,streetcar,vehicle,can be,2,1
Streetcars can be wiffed.,All vehicles can be wiffed.,streetcar,vehicle,can be,2,2
Streetcars can be blicked.,All vehicles can be blicked.,streetcar,vehicle,can be,2,3
Streetcars can be gyred.,All vehicles can be gyred.,streetcar,vehicle,can be,2,4
Streetcars can be gimbled.,All vehicles can be gimbled.,streetcar,vehicle,can be,2,5
Streetcars are beamish.,All vehicles are beamish.,streetcar,vehicle,are,3,1
Streetcars are slithy.,All vehicles are slithy.,streetcar,vehicle,are,3,2
Streetcars are mimsy.,All vehicles are mimsy.,streetcar,vehicle,are,3,3
Streetcars are vorpal.,All vehicles are vorpal.,streetcar,vehicle,are,3,4
Streetcars are frabjous.,All vehicles are frabjous.,streetcar,vehicle,are,3,5
Streetcars use a wug.,All vehicles use a wug.,streetcar,vehicle,use a,4,1
Streetcars use a fep.,All vehicles use a fep.,streetcar,vehicle,use a,4,2
Streetcars use a blicket.,All vehicles use a blicket.,streetcar,vehicle,use a,4,3
Streetcars use a jabberwock.,All vehicles use a jabberwock.,streetcar,vehicle,use a,4,4
Streetcars use a tove.,All vehicles use a tove.,streetcar,vehicle,use a,4,5
Streetcars have wugs.,All vehicles have wugs.,streetcar,vehicle,have,5,1
Streetcars have feps.,All vehicles have feps.,streetcar,vehicle,have,5,2
Streetcars have blickets.,All vehicles have blickets.,streetcar,vehicle,have,5,3
Streetcars have jabberwocks.,All vehicles have jabberwocks.,streetcar,vehicle,have,5,4
Streetcars have toves.,All vehicles have toves.,streetcar,vehicle,have,5,5
Vans can dax.,All vehicles can dax.,van,vehicle,can,1,1
Vans can wif.,All vehicles can wif.,van,vehicle,can,1,2
Vans can blick.,All vehicles can blick.,van,vehicle,can,1,3
Vans can gyre.,All vehicles can gyre.,van,vehicle,can,1,4
Vans can gimble.,All vehicles can gimble.,van,vehicle,can,1,5
Vans can be daxed.,All vehicles can be daxed.,van,vehicle,can be,2,1
Vans can be wiffed.,All vehicles can be wiffed.,van,vehicle,can be,2,2
Vans can be blicked.,All vehicles can be blicked.,van,vehicle,can be,2,3
Vans can be gyred.,All vehicles can be gyred.,van,vehicle,can be,2,4
Vans can be gimbled.,All vehicles can be gimbled.,van,vehicle,can be,2,5
Vans are beamish.,All vehicles are beamish.,van,vehicle,are,3,1
Vans are slithy.,All vehicles are slithy.,van,vehicle,are,3,2
Vans are mimsy.,All vehicles are mimsy.,van,vehicle,are,3,3
Vans are vorpal.,All vehicles are vorpal.,van,vehicle,are,3,4
Vans are frabjous.,All vehicles are frabjous.,van,vehicle,are,3,5
Vans use a wug.,All vehicles use a wug.,van,vehicle,use a,4,1
Vans use a fep.,All vehicles use a fep.,van,vehicle,use a,4,2
Vans use a blicket.,All vehicles use a blicket.,van,vehicle,use a,4,3
Vans use a jabberwock.,All vehicles use a jabberwock.,van,vehicle,use a,4,4
Vans use a tove.,All vehicles use a tove.,van,vehicle,use a,4,5
Vans have wugs.,All vehicles have wugs.,van,vehicle,have,5,1
Vans have feps.,All vehicles have feps.,van,vehicle,have,5,2
Vans have blickets.,All vehicles have blickets.,van,vehicle,have,5,3
Vans have jabberwocks.,All vehicles have jabberwocks.,van,vehicle,have,5,4
Vans have toves.,All vehicles have toves.,van,vehicle,have,5,5
Hondas can dax.,All vehicles can dax.,Honda,vehicle,can,1,1
Hondas can wif.,All vehicles can wif.,Honda,vehicle,can,1,2
Hondas can blick.,All vehicles can blick.,Honda,vehicle,can,1,3
Hondas can gyre.,All vehicles can gyre.,Honda,vehicle,can,1,4
Hondas can gimble.,All vehicles can gimble.,Honda,vehicle,can,1,5
Hondas can be daxed.,All vehicles can be daxed.,Honda,vehicle,can be,2,1
Hondas can be wiffed.,All vehicles can be wiffed.,Honda,vehicle,can be,2,2
Hondas can be blicked.,All vehicles can be blicked.,Honda,vehicle,can be,2,3
Hondas can be gyred.,All vehicles can be gyred.,Honda,vehicle,can be,2,4
Hondas can be gimbled.,All vehicles can be gimbled.,Honda,vehicle,can be,2,5
Hondas are beamish.,All vehicles are beamish.,Honda,vehicle,are,3,1
Hondas are slithy.,All vehicles are slithy.,Honda,vehicle,are,3,2
Hondas are mimsy.,All vehicles are mimsy.,Honda,vehicle,are,3,3
Hondas are vorpal.,All vehicles are vorpal.,Honda,vehicle,are,3,4
Hondas are frabjous.,All vehicles are frabjous.,Honda,vehicle,are,3,5
Hondas use a wug.,All vehicles use a wug.,Honda,vehicle,use a,4,1
Hondas use a fep.,All vehicles use a fep.,Honda,vehicle,use a,4,2
Hondas use a blicket.,All vehicles use a blicket.,Honda,vehicle,use a,4,3
Hondas use a jabberwock.,All vehicles use a jabberwock.,Honda,vehicle,use a,4,4
Hondas use a tove.,All vehicles use a tove.,Honda,vehicle,use a,4,5
Hondas have wugs.,All vehicles have wugs.,Honda,vehicle,have,5,1
Hondas have feps.,All vehicles have feps.,Honda,vehicle,have,5,2
Hondas have blickets.,All vehicles have blickets.,Honda,vehicle,have,5,3
Hondas have jabberwocks.,All vehicles have jabberwocks.,Honda,vehicle,have,5,4
Hondas have toves.,All vehicles have toves.,Honda,vehicle,have,5,5
Cable cars can dax.,All vehicles can dax.,cable car,vehicle,can,1,1
Cable cars can wif.,All vehicles can wif.,cable car,vehicle,can,1,2
Cable cars can blick.,All vehicles can blick.,cable car,vehicle,can,1,3
Cable cars can gyre.,All vehicles can gyre.,cable car,vehicle,can,1,4
Cable cars can gimble.,All vehicles can gimble.,cable car,vehicle,can,1,5
Cable cars can be daxed.,All vehicles can be daxed.,cable car,vehicle,can be,2,1
Cable cars can be wiffed.,All vehicles can be wiffed.,cable car,vehicle,can be,2,2
Cable cars can be blicked.,All vehicles can be blicked.,cable car,vehicle,can be,2,3
Cable cars can be gyred.,All vehicles can be gyred.,cable car,vehicle,can be,2,4
Cable cars can be gimbled.,All vehicles can be gimbled.,cable car,vehicle,can be,2,5
Cable cars are beamish.,All vehicles are beamish.,cable car,vehicle,are,3,1
Cable cars are slithy.,All vehicles are slithy.,cable car,vehicle,are,3,2
Cable cars are mimsy.,All vehicles are mimsy.,cable car,vehicle,are,3,3
Cable cars are vorpal.,All vehicles are vorpal.,cable car,vehicle,are,3,4
Cable cars are frabjous.,All vehicles are frabjous.,cable car,vehicle,are,3,5
Cable cars use a wug.,All vehicles use a wug.,cable car,vehicle,use a,4,1
Cable cars use a fep.,All vehicles use a fep.,cable car,vehicle,use a,4,2
Cable cars use a blicket.,All vehicles use a blicket.,cable car,vehicle,use a,4,3
Cable cars use a jabberwock.,All vehicles use a jabberwock.,cable car,vehicle,use a,4,4
